iid;id;gender;wave;round;position;positin1;partner;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;like_o;prob_o;met_o;age;field;field_cd;undergra;race;imprace;income;goal;date;go_out;career;shar4_1;attr2_1;sinc2_1;intel2_1;fun2_1;amb2_1;shar2_1;attr3_1;sinc3_1;fun3_1;intel3_1;amb3_1;attr5_1;sinc5_1;intel5_1;fun5_1;amb5_1;dec;attr;sinc;intel;fun;amb;shar;like;prob;met;match_es;attr1_s;sinc1_s;intel1_s;fun1_s;amb1_s;shar1_s;attr3_s;sinc3_s;intel3_s;fun3_s;amb3_s;satis_2;attr7_2;sinc7_2;intel7_2;fun7_2;amb7_2;shar7_2;attr1_2;sinc1_2;intel1_2;fun1_2;amb1_2;shar1_2;attr4_2;sinc4_2;intel4_2;fun4_2;amb4_2;shar4_2;attr2_2;sinc2_2;intel2_2;fun2_2;amb2_2;shar2_2;attr3_2;sinc3_2;intel3_2;fun3_2;amb3_2;attr5_2;sinc5_2;intel5_2;fun5_2;date_3;attr1_3;sinc1_3;intel1_3;fun1_3;amb1_3;shar1_3;attr7_3;sinc7_3;intel7_3;fun7_3;amb7_3;shar7_3;attr4_3;sinc4_3;intel4_3;fun4_3;amb4_3;shar4_3;attr2_3;sinc2_3;intel2_3;fun2_3;amb2_3;shar2_3;attr3_3;sinc3_3;intel3_3;fun3_3;amb3_3;attr5_3;sinc5_3;intel5_3;fun5_3;amb5_3
2;2;0;1;10;3;;1;0;0.29;1;27;2;35.00;20.00;20.00;20.00;0.00;5.00;0;8.00;7.00;6.00;9.00;7.00;4.00;7.00;2.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;0;5.00;7.00;8.00;4.00;6.00;3.00;6.00;4.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;2;0;0.18;1;22;2;60.00;0.00;0.00;40.00;0.00;0.00;0;7.00;6.00;10.00;6.00;6.00;5.00;8.00;4.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;0;8.00;5.00;6.00;6.00;9.00;6.00;7.00;3.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;3;0;0.10;0;22;4;19.00;18.00;19.00;18.00;14.00;12.00;1;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;0;5.00;8.00;9.00;6.00;3.00;4.00;6.00;7.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;4;1;-0.21;1;23;2;30.00;5.00;15.00;40.00;5.00;5.00;1;9.00;9.00;9.00;9.00;9.00;9.00;9.00;7.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;1;7.00;9.00;7.00;6.00;5.00;7.00;7.00;8.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;5;0;0.32;0;24;3;30.00;10.00;20.00;10.00;10.00;20.00;1;10.00;10.00;10.00;10.00;7.00;8.00;10.00;1.00;1;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;0;6.00;8.00;7.00;9.00;7.00;8.00;8.00;6.00;1;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;6;0;0.73;1;25;2;50.00;0.00;30.00;10.00;0.00;10.00;1;7.00;8.00;7.00;5.00;7.00;7.00;7.00;5.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;0;8.00;7.00;8.00;3.00;6.00;2.00;6.00;5.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;7;0;0.60;1;30;2;35.00;15.00;25.00;10.00;5.00;10.00;0;5.00;3.00;4.00;3.00;5.00;3.00;4.00;3.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;1;7.00;5.00;9.00;6.00;7.00;9.00;8.00;7.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;8;0;0.07;1;27;2;33.33;11.11;11.11;11.11;11.11;22.22;1;7.00;7.00;7.00;7.00;7.00;5.00;7.00;6.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;0;5.00;8.00;7.00;5.00;9.00;5.00;5.00;6.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;9;1;0.11;1;28;2;50.00;0.00;25.00;10.00;0.00;15.00;1;8.00;6.00;9.00;9.00;8.00;7.00;8.00;8.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;1;7.00;6.00;8.00;9.00;4.00;5.00;5.00;6.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
2;2;0;1;10;3;;10;0;0.39;1;24;2;100.00;0.00;0.00;0.00;0.00;0.00;0;6.00;5.00;7.00;7.00;9.00;7.00;6.00;9.00;2;24;law;1.00;;2;2;65,929.00;1;5;1;law;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;1;6.00;7.00;8.00;7.00;9.00;8.00;8.00;7.00;2;3.00;;;;;;;;;;;;5;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;0;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
3;3;0;1;10;9;;1;0;-0.24;1;27;2;35.00;20.00;20.00;20.00;0.00;5.00;0;7.00;8.00;6.00;5.00;8.00;4.00;5.00;2.00;1;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;7.00;9.00;10.00;7.00;8.00;9.00;8.00;7.00;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;2;0;-0.14;1;22;2;60.00;0.00;0.00;40.00;0.00;0.00;0;6.00;7.00;10.00;6.00;6.00;5.00;7.00;3.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;9.00;7.00;9.00;8.00;9.00;7.00;8.00;7.00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;3;0;0.09;0;22;4;19.00;18.00;19.00;18.00;14.00;12.00;1;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;7.00;9.00;9.00;7.00;9.00;7.00;8.00;7.00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;4;0;-0.04;1;23;2;30.00;5.00;15.00;40.00;5.00;5.00;1;7.00;9.00;8.00;8.00;8.00;8.00;7.00;7.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;9.00;7.00;9.00;7.00;9.00;7.00;8.00;7.00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;5;0;-0.14;0;24;3;30.00;10.00;20.00;10.00;10.00;20.00;1;6.00;10.00;8.00;6.00;;;6.00;1.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;9.00;10.00;10.00;10.00;10.00;10.00;9.00;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;6;0;-0.30;1;25;2;50.00;0.00;30.00;10.00;0.00;10.00;1;7.00;6.00;6.00;6.00;6.00;6.00;6.00;7.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;8.00;10.00;10.00;7.00;9.00;9.00;8.00;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;7;0;-0.26;1;30;2;35.00;15.00;25.00;10.00;5.00;10.00;0;6.00;3.00;5.00;4.00;5.00;4.00;2.00;2.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;8.00;9.00;10.00;7.00;7.00;9.00;8.00;7.00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;8;0;0.29;1;27;2;33.33;11.11;11.11;11.11;11.11;22.22;0;4.00;5.00;6.00;4.00;6.00;4.00;5.00;1.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;7.00;9.00;9.00;8.00;9.00;7.00;8.00;7.00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;9;0;-0.15;1;28;2;50.00;0.00;25.00;10.00;0.00;15.00;1;7.00;7.00;6.00;8.00;7.00;7.00;7.00;7.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;9.00;9.00;9.00;9.00;9.00;9.00;9.00;7.00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0;1;10;9;;10;0;-0.47;1;24;2;100.00;0.00;0.00;0.00;0.00;0.00;0;5.00;6.00;8.00;5.00;8.00;6.00;5.00;5.00;2;25;Economics;2.00;;2;8;;6;3;1;Economist;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;0;8.00;7.00;9.00;7.00;9.00;7.00;8.00;7.00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;0;1;10;6;;1;0;-0.18;1;27;2;35.00;20.00;20.00;20.00;0.00;5.00;0;6.00;7.00;8.00;7.00;7.00;5.00;6.00;3.00;2;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;0;4.00;10.00;8.00;5.00;8.00;7.00;6.00;7.00;2;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
4;4;0;1;10;6;;2;0;-0.18;1;22;2;60.00;0.00;0.00;40.00;0.00;0.00;0;6.00;5.00;10.00;6.00;6.00;5.00;6.00;3.00;1;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;0;8.00;7.00;8.00;10.00;7.00;8.00;8.00;1.00;1;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
4;4;0;1;10;6;;3;0;0.05;0;22;4;19.00;18.00;19.00;18.00;14.00;12.00;1;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;0;4.00;7.00;8.00;8.00;6.00;7.00;4.00;1.00;2;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
4;4;0;1;10;6;;4;1;-0.18;1;23;2;30.00;5.00;15.00;40.00;5.00;5.00;1;7.00;7.00;7.00;9.00;9.00;9.00;8.00;10.00;1;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;1;8.00;10.00;7.00;10.00;7.00;10.00;8.00;10.00;1;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
4;4;0;1;10;6;;5;0;0.21;0;24;3;30.00;10.00;20.00;10.00;10.00;20.00;1;8.00;8.00;9.00;8.00;8.00;9.00;9.00;7.00;2;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;0;6.00;9.00;8.00;9.00;8.00;9.00;7.00;7.00;2;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
4;4;0;1;10;6;;6;0;0.37;1;25;2;50.00;0.00;30.00;10.00;0.00;10.00;1;6.00;6.00;7.00;7.00;8.00;7.00;6.00;6.00;2;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;0;5.00;10.00;8.00;4.00;8.00;2.00;4.00;3.00;2;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
4;4;0;1;10;6;;7;0;0.35;1;30;2;35.00;15.00;25.00;10.00;5.00;10.00;1;7.00;6.00;3.00;5.00;6.00;5.00;6.00;4.00;2;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;0;7.00;10.00;10.00;7.00;10.00;5.00;5.00;1.00;2;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
4;4;0;1;10;6;;8;0;0.15;1;27;2;33.33;11.11;11.11;11.11;11.11;22.22;0;6.00;7.00;8.00;6.00;6.00;5.00;7.00;7.00;2;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;0;5.00;9.00;9.00;5.00;9.00;7.00;6.00;6.00;2;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
4;4;0;1;10;6;;9;1;-0.47;1;28;2;50.00;0.00;25.00;10.00;0.00;15.00;1;7.00;7.00;7.00;10.00;9.00;10.00;8.00;8.00;2;23;Law;1.00;;2;1;37,754.00;1;5;1;lawyer/policy work;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;1;9.00;8.00;10.00;10.00;7.00;8.00;8.00;8.00;2;2.00;;;;;;;;;;;;4;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;0;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
